Date (UT),Time (yr),Freq (GHz),Flux (mJy),FluxErr (mJy),Lum (10^25 erg/s/Hz),LumErr,Instrument,Reference
12-Feb-1990,10.861,5.0,1.9,0.18,,,VLA,Weiler et al. (1991)
29-May-1990,11.151,1.5,5.8,0.31,,,VLA,Weiler et al. (1991)
29-May-1990,11.151,5.0,2.3,0.14,,,VLA,Weiler et al. (1991)
07-Dec-1990,11.677,1.5,4.71,0.46,,,VLA,Weiler et al. (1991)
07-Dec-1990,11.677,5.0,2.39,0.13,,,VLA,Weiler et al. (1991)
28-Jul-1991,12.315,1.5,5.229,0.276,,,VLA,Montes et al. (2000)
28-Jul-1991,12.315,5.0,1.915,0.103,,,VLA,Montes et al. (2000)
31-Oct-1991,12.575,1.5,5.365,0.289,,,VLA,Montes et al. (2000)
31-Oct-1991,12.575,5.0,1.546,0.101,,,VLA,Montes et al. (2000)
01-Mar-1992,12.909,1.5,5.64,0.801,,,VLA,Montes et al. (2000)
01-Mar-1992,12.909,5.0,2.253,0.12,,,VLA,Montes et al. (2000)
13-Oct-1992,13.528,1.5,5.396,0.287,,,VLA,Montes et al. (2000)
13-Oct-1992,13.528,5.0,2.574,0.143,,,VLA,Montes et al. (2000)
28-Jan-1993,13.821,1.5,5.582,0.304,,,VLA,Montes et al. (2000)
28-Jan-1993,13.821,5.0,2.625,0.136,,,VLA,Montes et al. (2000)
07-May-1993,14.092,5.0,2.583,0.138,,,VLA,Montes et al. (2000)
17-Oct-1993,14.538,1.5,5.19,0.281,,,VLA,Montes et al. (2000)
17-Oct-1993,14.538,5.0,2.251,0.115,,,VLA,Montes et al. (2000)
18-Feb-1994,14.877,1.5,5.67,0.535,,,VLA,Montes et al. (2000)
18-Feb-1994,14.877,5.0,1.66,0.311,,,VLA,Montes et al. (2000)
25-Apr-1994,15.058,1.5,5.81,0.314,,,VLA,Montes et al. (2000)
25-Apr-1994,15.058,5.0,2.74,0.17,,,VLA,Montes et al. (2000)
15-Jun-1995,16.197,1.5,5.34,0.328,,,VLA,Montes et al. (2000)
15-Jun-1995,16.197,5.0,1.74,0.24,,,VLA,Montes et al. (2000)
12-Dec-1995,16.69,1.5,5.663,0.074,,,VLA,Montes et al. (2000)
12-Dec-1995,16.69,5.0,2.664,0.139,,,VLA,Montes et al. (2000)
06-Oct-1996,17.509,1.5,5.64,0.335,,,VLA,Montes et al. (2000)
06-Oct-1996,17.509,5.0,2.17,0.17,,,VLA,Montes et al. (2000)
21-Dec-1996,17.717,1.5,5.82,0.315,,,VLA,Montes et al. (2000)
21-Dec-1996,17.717,5.0,2.69,0.18,,,VLA,Montes et al. (2000)
21-Dec-1996,17.717,8.4,2.0,0.112,,,VLA,Montes et al. (2000)
21-Dec-1996,17.717,15.0,1.12,0.195,,,VLA,Montes et al. (2000)
23-Sep-1997,18.472,1.5,4.2,0.452,,,VLA,Montes et al. (2000)
23-Sep-1997,18.472,5.0,1.727,0.107,,,VLA,Montes et al. (2000)
10-Feb-1998,18.856,5.0,1.93,0.107,,,VLA,Montes et al. (2000)
10-Feb-1998,18.856,15.0,0.95,0.264,,,VLA,Montes et al. (2000)
13-Feb-1998,18.864,1.5,5.46,0.279,,,VLA,Montes et al. (2000)
13-Feb-1998,18.864,5.0,2.68,0.149,,,VLA,Montes et al. (2000)
19-Oct-1998,19.543,1.5,5.14,0.406,,,VLA,Montes et al. (2000)
19-Oct-1998,19.543,5.0,2.5,0.136,,,VLA,Montes et al. (2000)
22-Feb-2001,21.89,1.67,4.28,0.23,150,8,VLA,Bartel & Bietenholz 2003
22-Feb-2001,21.89,8.46,2.30,0.40,80,14,VLA,Bartel & Bietenholz 2003
18-Nov-2002,23.62,1.60,2.96,0.06,104,2,Global VLBI,Marcaide et al. 2009
25-Feb-2005,25.90,1.43,3.19,0.22,112,8,Global VLBI,Bartel & Bietenholz 2008
25-Feb-2005,25.90,4.99,1.68,0.09,58.8,3.1,Global VLBI,Bartel & Bietenholz 2008
25-Feb-2005,25.90,8.43,1.37,0.10,47.9,3.5,Global VLBI,Bartel & Bietenholz 2008
19-Feb-2008,28.88,8.40,0.72,0.028,25.2,1.0,VLA,Lundqvist 2026
19-Jan-2019,39.79,0.146,4.60,0.36,161,13,LOFAR,Lundqvist 2026
29-Aug-2019,40.40,6.10,0.36,0.02,12.6,0.7,VLA,Lundqvist 2026
11-Jan-2020,40.79,0.65,1.76,0.09,61.6,3.1,GMRT,Lundqvist 2026
13-Jan-2020,40.79,1.26,1.22,0.05,42.7,1.7,GMRT,Lundqvist 2026
17-Jan-2020,40.79,5.10,0.34,0.02,11.9,0.7,e-MERLIN,Lundqvist 2026
27-Aug-2020,41.40,4.50,0.36,0.02,12.5,0.7,e-MERLIN,Lundqvist 2026
30-Aug-2020,41.41,1.50,1.014,0.033,35.5,1.2,e-MERLIN,Lundqvist 2026
15-Nov-2020,41.62,6.10,0.37,0.02,12.9,0.7,VLA,Lundqvist 2026
